Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,7825129,-,b'Victoria',b'Australia',-37.84,145.03,10,40,10,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,3.1.1
Year,Month,Day,Hour,Minute,Clearsky GHI
2020,1,4,14,30,869
2020,1,4,15,0,807
2020,1,4,15,30,731
2020,1,4,16,0,649
2020,1,4,16,30,555
2020,1,4,17,0,460
2020,1,4,17,30,357
2020,1,4,18,0,256
2020,1,4,18,30,160
2020,1,4,19,0,75
2020,1,4,19,30,15
2020,1,4,20,0,0
2020,1,4,20,30,0
2020,1,4,21,0,0
2020,1,4,21,30,0
2020,1,4,22,0,0
2020,1,4,22,30,0
2020,1,4,23,0,0
2020,1,4,23,30,0
2020,1,5,0,0,0
2020,1,5,0,30,0
2020,1,5,1,0,0
2020,1,5,1,30,0
2020,1,5,2,0,0
2020,1,5,2,30,0
2020,1,5,3,0,0
2020,1,5,3,30,0
2020,1,5,4,0,0
2020,1,5,4,30,0
2020,1,5,5,0,0
2020,1,5,5,30,30
2020,1,5,6,0,97
2020,1,5,6,30,184
2020,1,5,7,0,278
2020,1,5,7,30,378
2020,1,5,8,0,477
2020,1,5,8,30,576
2020,1,5,9,0,672
2020,1,5,9,30,756
2020,1,5,10,0,844
2020,1,5,10,30,907
2020,1,5,11,0,970
2020,1,5,11,30,1005
2020,1,5,12,0,1036
2020,1,5,12,30,1043
2020,1,5,13,0,1037
2020,1,5,13,30,1013
2020,1,5,14,0,975
2020,1,5,14,30,922
2020,1,5,15,0,856
2020,1,5,15,30,776
2020,1,5,16,0,686
2020,1,5,16,30,589
2020,1,5,17,0,486
2020,1,5,17,30,379
2020,1,5,18,0,274
2020,1,5,18,30,173
2020,1,5,19,0,85
2020,1,5,19,30,20
2020,1,5,20,0,0
2020,1,5,20,30,0
2020,1,5,21,0,0
2020,1,5,21,30,0
2020,1,5,22,0,0
2020,1,5,22,30,0
2020,1,5,23,0,0
2020,1,5,23,30,0
2020,1,6,0,0,0
2020,1,6,0,30,0
2020,1,6,1,0,0
2020,1,6,1,30,0
2020,1,6,2,0,0
2020,1,6,2,30,0
2020,1,6,3,0,0
2020,1,6,3,30,0
2020,1,6,4,0,0
2020,1,6,4,30,0
2020,1,6,5,0,0
2020,1,6,5,30,13
2020,1,6,6,0,55
2020,1,6,6,30,133
2020,1,6,7,0,227
2020,1,6,7,30,327
2020,1,6,8,0,426
2020,1,6,8,30,523
2020,1,6,9,0,614
2020,1,6,9,30,696
2020,1,6,10,0,762
2020,1,6,10,30,825
2020,1,6,11,0,873
2020,1,6,11,30,910
2020,1,6,12,0,930
2020,1,6,12,30,937
2020,1,6,13,0,930
2020,1,6,13,30,898
2020,1,6,14,0,863
2020,1,6,14,30,810
2020,1,6,15,0,747
2020,1,6,15,30,671
2020,1,6,16,0,587
2020,1,6,16,30,495
2020,1,6,17,0,397
2020,1,6,17,30,303
2020,1,6,18,0,202
2020,1,6,18,30,110
2020,1,6,19,0,40
2020,1,6,19,30,6
2020,1,6,20,0,0
2020,1,6,20,30,0
2020,1,6,21,0,0
2020,1,6,21,30,0
2020,1,6,22,0,0
2020,1,6,22,30,0
2020,1,6,23,0,0
2020,1,6,23,30,0
2020,1,7,0,0,0
2020,1,7,0,30,0
2020,1,7,1,0,0
2020,1,7,1,30,0
2020,1,7,2,0,0
2020,1,7,2,30,0
2020,1,7,3,0,0
2020,1,7,3,30,0
2020,1,7,4,0,0
2020,1,7,4,30,0
2020,1,7,5,0,0
2020,1,7,5,30,11
2020,1,7,6,0,56
2020,1,7,6,30,133
2020,1,7,7,0,226
2020,1,7,7,30,325
2020,1,7,8,0,424
2020,1,7,8,30,519
2020,1,7,9,0,608
2020,1,7,9,30,690
2020,1,7,10,0,828
2020,1,7,10,30,892
2020,1,7,11,0,948
2020,1,7,11,30,984
2020,1,7,12,0,1010
2020,1,7,12,30,1016
2020,1,7,13,0,1008
2020,1,7,13,30,983
2020,1,7,14,0,944
2020,1,7,14,30,889
2020,1,7,15,0,827
2020,1,7,15,30,748
2020,1,7,16,0,670
2020,1,7,16,30,573
2020,1,7,17,0,473
2020,1,7,17,30,370
2020,1,7,18,0,267
2020,1,7,18,30,168
2020,1,7,19,0,81
2020,1,7,19,30,17
2020,1,7,20,0,0
2020,1,7,20,30,0
2020,1,7,21,0,0
2020,1,7,21,30,0
2020,1,7,22,0,0
2020,1,7,22,30,0
2020,1,7,23,0,0
2020,1,7,23,30,0
2020,1,8,0,0,0
2020,1,8,0,30,0
2020,1,8,1,0,0
2020,1,8,1,30,0
2020,1,8,2,0,0
2020,1,8,2,30,0
2020,1,8,3,0,0
2020,1,8,3,30,0
2020,1,8,4,0,0
2020,1,8,4,30,0
2020,1,8,5,0,0
2020,1,8,5,30,27
2020,1,8,6,0,95
2020,1,8,6,30,183
2020,1,8,7,0,279
2020,1,8,7,30,381
2020,1,8,8,0,485
2020,1,8,8,30,584
2020,1,8,9,0,680
2020,1,8,9,30,766
2020,1,8,10,0,847
2020,1,8,10,30,911
2020,1,8,11,0,967
2020,1,8,11,30,1004
2020,1,8,12,0,1028
2020,1,8,12,30,1034
2020,1,8,13,0,1026
2020,1,8,13,30,1000
2020,1,8,14,0,964
2020,1,8,14,30,911
2020,1,8,15,0,848
2020,1,8,15,30,769
2020,1,8,16,0,674
2020,1,8,16,30,579
2020,1,8,17,0,480
2020,1,8,17,30,374
2020,1,8,18,0,271
2020,1,8,18,30,171
2020,1,8,19,0,83
2020,1,8,19,30,18
2020,1,8,20,0,0
2020,1,8,20,30,0
2020,1,8,21,0,0
2020,1,8,21,30,0
2020,1,8,22,0,0
2020,1,8,22,30,0
2020,1,8,23,0,0
2020,1,8,23,30,0
2020,1,9,0,0,0
2020,1,9,0,30,0
2020,1,9,1,0,0
2020,1,9,1,30,0
2020,1,9,2,0,0
2020,1,9,2,30,0
2020,1,9,3,0,0
2020,1,9,3,30,0
2020,1,9,4,0,0
2020,1,9,4,30,0
2020,1,9,5,0,0
2020,1,9,5,30,30
2020,1,9,6,0,102
2020,1,9,6,30,195
2020,1,9,7,0,295
2020,1,9,7,30,401
2020,1,9,8,0,505
2020,1,9,8,30,607
2020,1,9,9,0,704
2020,1,9,9,30,791
2020,1,9,10,0,850
2020,1,9,10,30,913
2020,1,9,11,0,969
2020,1,9,11,30,1006
2020,1,9,12,0,1026
2020,1,9,12,30,1030
2020,1,9,13,0,990
2020,1,9,13,30,960
2020,1,9,14,0,909
2020,1,9,14,30,856
2020,1,9,15,0,787
2020,1,9,15,30,710
2020,1,9,16,0,631
2020,1,9,16,30,539
2020,1,9,17,0,444
2020,1,9,17,30,342
2020,1,9,18,0,245
2020,1,9,18,30,150
2020,1,9,19,0,69
2020,1,9,19,30,11
2020,1,9,20,0,0
2020,1,9,20,30,0
2020,1,9,21,0,0
2020,1,9,21,30,0
2020,1,9,22,0,0
2020,1,9,22,30,0
2020,1,9,23,0,0
2020,1,9,23,30,0
2020,1,10,0,0,0
2020,1,10,0,30,0
2020,1,10,1,0,0
2020,1,10,1,30,0
2020,1,10,2,0,0
2020,1,10,2,30,0
2020,1,10,3,0,0
2020,1,10,3,30,0
2020,1,10,4,0,0
2020,1,10,4,30,0
2020,1,10,5,0,0
2020,1,10,5,30,19
2020,1,10,6,0,83
2020,1,10,6,30,168
2020,1,10,7,0,266
2020,1,10,7,30,365
2020,1,10,8,0,469
2020,1,10,8,30,566
2020,1,10,9,0,654
2020,1,10,9,30,739
2020,1,10,10,0,800
2020,1,10,10,30,860
2020,1,10,11,0,894
2020,1,10,11,30,935
2020,1,10,12,0,946
2020,1,10,12,30,949
2020,1,10,13,0,932
2020,1,10,13,30,908
2020,1,10,14,0,854
2020,1,10,14,30,804
2020,1,10,15,0,736
2020,1,10,15,30,664
2020,1,10,16,0,594
2020,1,10,16,30,504
2020,1,10,17,0,429
2020,1,10,17,30,333
2020,1,10,18,0,255
2020,1,10,18,30,162
2020,1,10,19,0,85
2020,1,10,19,30,19
2020,1,10,20,0,0
2020,1,10,20,30,0
2020,1,10,21,0,0
2020,1,10,21,30,0
2020,1,10,22,0,0
2020,1,10,22,30,0
2020,1,10,23,0,0
2020,1,10,23,30,0
2020,1,11,0,0,0
2020,1,11,0,30,0
2020,1,11,1,0,0
2020,1,11,1,30,0
2020,1,11,2,0,0
2020,1,11,2,30,0
2020,1,11,3,0,0
2020,1,11,3,30,0
2020,1,11,4,0,0
2020,1,11,4,30,0
2020,1,11,5,0,0
2020,1,11,5,30,29
2020,1,11,6,0,103
2020,1,11,6,30,199
2020,1,11,7,0,303
2020,1,11,7,30,412
2020,1,11,8,0,516
2020,1,11,8,30,620
2020,1,11,9,0,714
2020,1,11,9,30,804
2020,1,11,10,0,882
2020,1,11,10,30,948
2020,1,11,11,0,998
2020,1,11,11,30,1036
2020,1,11,12,0,1055
2020,1,11,12,30,1062
2020,1,11,13,0,1050
2020,1,11,13,30,1024
2020,1,11,14,0,978
2020,1,11,14,30,923
2020,1,11,15,0,852
2020,1,11,15,30,773
2020,1,11,16,0,684
2020,1,11,16,30,585
2020,1,11,17,0,481
2020,1,11,17,30,374
2020,1,11,18,0,270
2020,1,11,18,30,170
2020,1,11,19,0,82
2020,1,11,19,30,18
2020,1,11,20,0,0
2020,1,11,20,30,0
2020,1,11,21,0,0
2020,1,11,21,30,0
2020,1,11,22,0,0
2020,1,11,22,30,0
2020,1,11,23,0,0
2020,1,11,23,30,0
2020,1,12,0,0,0
2020,1,12,0,30,0
2020,1,12,1,0,0
2020,1,12,1,30,0
2020,1,12,2,0,0
2020,1,12,2,30,0
2020,1,12,3,0,0
2020,1,12,3,30,0
2020,1,12,4,0,0
2020,1,12,4,30,0
2020,1,12,5,0,0
2020,1,12,5,30,27
2020,1,12,6,0,100
2020,1,12,6,30,194
2020,1,12,7,0,296
2020,1,12,7,30,402
2020,1,12,8,0,509
2020,1,12,8,30,611
2020,1,12,9,0,709
2020,1,12,9,30,797
2020,1,12,10,0,873
2020,1,12,10,30,938
2020,1,12,11,0,991
2020,1,12,11,30,1029
2020,1,12,12,0,1055
2020,1,12,12,30,1062
2020,1,12,13,0,1057
2020,1,12,13,30,1032
2020,1,12,14,0,994
2020,1,12,14,30,940
2020,1,12,15,0,873
2020,1,12,15,30,796
2020,1,12,16,0,706
2020,1,12,16,30,608
2020,1,12,17,0,506
2020,1,12,17,30,398
2020,1,12,18,0,290
2020,1,12,18,30,186
2020,1,12,19,0,92
2020,1,12,19,30,22
2020,1,12,20,0,0
2020,1,12,20,30,0
2020,1,12,21,0,0
2020,1,12,21,30,0
2020,1,12,22,0,0
2020,1,12,22,30,0
2020,1,12,23,0,0
2020,1,12,23,30,0
2020,1,13,0,0,0
2020,1,13,0,30,0
2020,1,13,1,0,0
2020,1,13,1,30,0
2020,1,13,2,0,0
2020,1,13,2,30,0
2020,1,13,3,0,0
2020,1,13,3,30,0
2020,1,13,4,0,0
2020,1,13,4,30,0
2020,1,13,5,0,0
2020,1,13,5,30,11
2020,1,13,6,0,58
2020,1,13,6,30,137
2020,1,13,7,0,221
2020,1,13,7,30,318
2020,1,13,8,0,405
2020,1,13,8,30,498
2020,1,13,9,0,580
2020,1,13,9,30,662
2020,1,13,10,0,728
2020,1,13,10,30,790
2020,1,13,11,0,838
2020,1,13,11,30,874
2020,1,13,12,0,895
2020,1,13,12,30,902
2020,1,13,13,0,895
2020,1,13,13,30,870
2020,1,13,14,0,841
2020,1,13,14,30,790
2020,1,13,15,0,740
2020,1,13,15,30,666
2020,1,13,16,0,588
2020,1,13,16,30,497
2020,1,13,17,0,404
2020,1,13,17,30,306
2020,1,13,18,0,211
2020,1,13,18,30,121
2020,1,13,19,0,47
2020,1,13,19,30,6
2020,1,13,20,0,0
2020,1,13,20,30,0
2020,1,13,21,0,0
2020,1,13,21,30,0
2020,1,13,22,0,0
2020,1,13,22,30,0
2020,1,13,23,0,0
2020,1,13,23,30,0
2020,1,14,0,0,0
2020,1,14,0,30,0
2020,1,14,1,0,0
2020,1,14,1,30,0
2020,1,14,2,0,0
2020,1,14,2,30,0
2020,1,14,3,0,0
2020,1,14,3,30,0
2020,1,14,4,0,0
2020,1,14,4,30,0
2020,1,14,5,0,0
2020,1,14,5,30,9
2020,1,14,6,0,61
2020,1,14,6,30,142
2020,1,14,7,0,237
2020,1,14,7,30,336
2020,1,14,8,0,436
2020,1,14,8,30,533
2020,1,14,9,0,628
2020,1,14,9,30,713
2020,1,14,10,0,761
2020,1,14,10,30,824
2020,1,14,11,0,877
2020,1,14,11,30,913
2020,1,14,12,0,938
2020,1,14,12,30,945
2020,1,14,13,0,939
2020,1,14,13,30,912
2020,1,14,14,0,876
2020,1,14,14,30,824
2020,1,14,15,0,760
2020,1,14,15,30,685
2020,1,14,16,0,584
2020,1,14,16,30,493
2020,1,14,17,0,398
2020,1,14,17,30,301
2020,1,14,18,0,204
2020,1,14,18,30,115
2020,1,14,19,0,42
2020,1,14,19,30,5
2020,1,14,20,0,0
2020,1,14,20,30,0
2020,1,14,21,0,0
2020,1,14,21,30,0
2020,1,14,22,0,0
2020,1,14,22,30,0
2020,1,14,23,0,0
2020,1,14,23,30,0
2020,1,15,0,0,0
2020,1,15,0,30,0
2020,1,15,1,0,0
2020,1,15,1,30,0
2020,1,15,2,0,0
2020,1,15,2,30,0
2020,1,15,3,0,0
2020,1,15,3,30,0
2020,1,15,4,0,0
2020,1,15,4,30,0
2020,1,15,5,0,0
2020,1,15,5,30,7
2020,1,15,6,0,47
2020,1,15,6,30,123
2020,1,15,7,0,210
2020,1,15,7,30,306
2020,1,15,8,0,406
2020,1,15,8,30,501
2020,1,15,9,0,595
2020,1,15,9,30,678
2020,1,15,10,0,738
2020,1,15,10,30,806
2020,1,15,11,0,868
2020,1,15,11,30,902
2020,1,15,12,0,935
2020,1,15,12,30,941
2020,1,15,13,0,929
2020,1,15,13,30,905
2020,1,15,14,0,881
2020,1,15,14,30,829
2020,1,15,15,0,777
2020,1,15,15,30,701
2020,1,15,16,0,612
2020,1,15,16,30,520
2020,1,15,17,0,415
2020,1,15,17,30,318
2020,1,15,18,0,207
2020,1,15,18,30,117
2020,1,15,19,0,33
2020,1,15,19,30,4
2020,1,15,20,0,0
2020,1,15,20,30,0
2020,1,15,21,0,0
2020,1,15,21,30,0
2020,1,15,22,0,0
2020,1,15,22,30,0
2020,1,15,23,0,0
2020,1,15,23,30,0
2020,1,16,0,0,0
2020,1,16,0,30,0
2020,1,16,1,0,0
2020,1,16,1,30,0
2020,1,16,2,0,0
2020,1,16,2,30,0
2020,1,16,3,0,0
2020,1,16,3,30,0
2020,1,16,4,0,0
2020,1,16,4,30,0
2020,1,16,5,0,0
2020,1,16,5,30,6
2020,1,16,6,0,51
2020,1,16,6,30,132
2020,1,16,7,0,233
2020,1,16,7,30,333
2020,1,16,8,0,442
2020,1,16,8,30,542
2020,1,16,9,0,643
2020,1,16,9,30,730
2020,1,16,10,0,803
2020,1,16,10,30,870
2020,1,16,11,0,938
2020,1,16,11,30,976
2020,1,16,12,0,1018
2020,1,16,12,30,1026
2020,1,16,13,0,1026
2020,1,16,13,30,1002
2020,1,16,14,0,972
2020,1,16,14,30,920
2020,1,16,15,0,858
2020,1,16,15,30,777
2020,1,16,16,0,694
2020,1,16,16,30,595
2020,1,16,17,0,492
2020,1,16,17,30,384
2020,1,16,18,0,278
2020,1,16,18,30,174
2020,1,16,19,0,82
2020,1,16,19,30,16
2020,1,16,20,0,0
2020,1,16,20,30,0
2020,1,16,21,0,0
2020,1,16,21,30,0
2020,1,16,22,0,0
2020,1,16,22,30,0
2020,1,16,23,0,0
2020,1,16,23,30,0
2020,1,17,0,0,0
2020,1,17,0,30,0
2020,1,17,1,0,0
2020,1,17,1,30,0
2020,1,17,2,0,0
2020,1,17,2,30,0
2020,1,17,3,0,0
2020,1,17,3,30,0
2020,1,17,4,0,0
2020,1,17,4,30,0
2020,1,17,5,0,0
2020,1,17,5,30,11
2020,1,17,6,0,68
2020,1,17,6,30,154
2020,1,17,7,0,247
2020,1,17,7,30,349
2020,1,17,8,0,446
2020,1,17,8,30,549
2020,1,17,9,0,637
2020,1,17,9,30,724
2020,1,17,10,0,804
2020,1,17,10,30,870
2020,1,17,11,0,921
2020,1,17,11,30,960
2020,1,17,12,0,987
2020,1,17,12,30,995
2020,1,17,13,0,1002
2020,1,17,13,30,979
2020,1,17,14,0,940
2020,1,17,14,30,887
2020,1,17,15,0,821
2020,1,17,15,30,743
2020,1,17,16,0,648
2020,1,17,16,30,551
2020,1,17,17,0,449
2020,1,17,17,30,347
2020,1,17,18,0,245
2020,1,17,18,30,149
2020,1,17,19,0,65
2020,1,17,19,30,9
2020,1,17,20,0,0
2020,1,17,20,30,0
2020,1,17,21,0,0
2020,1,17,21,30,0
2020,1,17,22,0,0
2020,1,17,22,30,0
2020,1,17,23,0,0
2020,1,17,23,30,0
2020,1,18,0,0,0
2020,1,18,0,30,0
2020,1,18,1,0,0
2020,1,18,1,30,0
2020,1,18,2,0,0
2020,1,18,2,30,0
2020,1,18,3,0,0
2020,1,18,3,30,0
2020,1,18,4,0,0
2020,1,18,4,30,0
2020,1,18,5,0,0
2020,1,18,5,30,8
2020,1,18,6,0,61
2020,1,18,6,30,145
2020,1,18,7,0,243
2020,1,18,7,30,344
2020,1,18,8,0,449
2020,1,18,8,30,549
2020,1,18,9,0,646
2020,1,18,9,30,734
2020,1,18,10,0,786
2020,1,18,10,30,851
2020,1,18,11,0,907
2020,1,18,11,30,943
2020,1,18,12,0,965
2020,1,18,12,30,973
2020,1,18,13,0,966
2020,1,18,13,30,940
2020,1,18,14,0,898
2020,1,18,14,30,844
2020,1,18,15,0,775
2020,1,18,15,30,702
2020,1,18,16,0,609
2020,1,18,16,30,517
2020,1,18,17,0,420
2020,1,18,17,30,320
2020,1,18,18,0,224
2020,1,18,18,30,131
2020,1,18,19,0,53
2020,1,18,19,30,6
2020,1,18,20,0,0
2020,1,18,20,30,0
2020,1,18,21,0,0
2020,1,18,21,30,0
2020,1,18,22,0,0
2020,1,18,22,30,0
2020,1,18,23,0,0
2020,1,18,23,30,0
2020,1,19,0,0,0
2020,1,19,0,30,0
2020,1,19,1,0,0
2020,1,19,1,30,0
2020,1,19,2,0,0
2020,1,19,2,30,0
2020,1,19,3,0,0
2020,1,19,3,30,0
2020,1,19,4,0,0
2020,1,19,4,30,0
2020,1,19,5,0,0
2020,1,19,5,30,8
2020,1,19,6,0,61
2020,1,19,6,30,144
2020,1,19,7,0,240
2020,1,19,7,30,340
2020,1,19,8,0,444
2020,1,19,8,30,543
2020,1,19,9,0,640
2020,1,19,9,30,727
2020,1,19,10,0,802
2020,1,19,10,30,868
2020,1,19,11,0,923
2020,1,19,11,30,959
2020,1,19,12,0,979
2020,1,19,12,30,985
2020,1,19,13,0,970
2020,1,19,13,30,947
2020,1,19,14,0,902
2020,1,19,14,30,849
2020,1,19,15,0,774
2020,1,19,15,30,698
2020,1,19,16,0,599
2020,1,19,16,30,506
2020,1,19,17,0,409
2020,1,19,17,30,311
2020,1,19,18,0,215
2020,1,19,18,30,123
2020,1,19,19,0,48
2020,1,19,19,30,5
2020,1,19,20,0,0
2020,1,19,20,30,0
2020,1,19,21,0,0
2020,1,19,21,30,0
2020,1,19,22,0,0
2020,1,19,22,30,0
2020,1,19,23,0,0
2020,1,19,23,30,0
2020,1,20,0,0,0
2020,1,20,0,30,0
2020,1,20,1,0,0
2020,1,20,1,30,0
2020,1,20,2,0,0
2020,1,20,2,30,0
2020,1,20,3,0,0
2020,1,20,3,30,0
2020,1,20,4,0,0
2020,1,20,4,30,0
2020,1,20,5,0,0
2020,1,20,5,30,7
2020,1,20,6,0,59
2020,1,20,6,30,140
2020,1,20,7,0,234
2020,1,20,7,30,333
2020,1,20,8,0,430
2020,1,20,8,30,528
2020,1,20,9,0,613
2020,1,20,9,30,698
2020,1,20,10,0,765
2020,1,20,10,30,830
2020,1,20,11,0,880
2020,1,20,11,30,918
2020,1,20,12,0,941
2020,1,20,12,30,949
2020,1,20,13,0,939
2020,1,20,13,30,917
2020,1,20,14,0,879
2020,1,20,14,30,828
2020,1,20,15,0,771
2020,1,20,15,30,697
2020,1,20,16,0,616
2020,1,20,16,30,524
2020,1,20,17,0,430
2020,1,20,17,30,331
2020,1,20,18,0,238
2020,1,20,18,30,144
2020,1,20,19,0,64
2020,1,20,19,30,9
2020,1,20,20,0,0
2020,1,20,20,30,0
2020,1,20,21,0,0
2020,1,20,21,30,0
2020,1,20,22,0,0
2020,1,20,22,30,0
2020,1,20,23,0,0
2020,1,20,23,30,0
2020,1,21,0,0,0
2020,1,21,0,30,0
2020,1,21,1,0,0
2020,1,21,1,30,0
2020,1,21,2,0,0
2020,1,21,2,30,0
2020,1,21,3,0,0
2020,1,21,3,30,0
2020,1,21,4,0,0
2020,1,21,4,30,0
2020,1,21,5,0,0
2020,1,21,5,30,10
2020,1,21,6,0,69
2020,1,21,6,30,156
2020,1,21,7,0,258
2020,1,21,7,30,365
2020,1,21,8,0,475
